Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae	40	24	9	21	6	10	90	62	73	80	80	45	63	71	74	83	41	52
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae	1	1	0	0	2	0	0	3	4	1	3	2	2	6	4	0	0	3
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae	4	4	5	4	2	1	8	5	13	13	7	12	8	19	14	14	15	5
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	172	207	917	308	576	224	159	742	719	521	224	208	443	509	303	189	435	516
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0	3	1	2	1	1	2	12	7	7	6	2	2	0	6	26	3	2
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae	42	56	22	41	38	18	39	72	52	43	37	46	68	38	48	49	25	53
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae	98	133	41	100	147	75	83	190	61	103	161	109	376	57	106	111	168	152
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	28	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae	0	0	0	1	1	4	4	4	0	3	19	1	1	3	0	10	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	104	108	64	69	45	107	336	149	198	207	116	386	56	42	71	51	40	76
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae	40	40	83	330	18	71	191	106	42	92	29	69	22	16	29	27	19	19
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae	6	5	4	7	2	5	14	5	7	1	16	29	2	3	5	3	5	4
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae	6	12	5	13	3	4	4	18	13	4	9	14	1	1	5	9	3	13
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned	6	5	5	5	9	2	12	11	5	9	10	12	8	5	11	4	1	2
Bacteria|Firmicutes|Bacilli|Lactobacillales|Unassigned	4	2	11	2	2	10	6	2	1	7	0	6	1	0	6	0	2	2
Bacteria|Firmicutes|Bacilli|Unassigned|Unassigned	49	108	46	37	69	55	52	53	21	47	38	44	46	17	33	18	48	36
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0	37	3	1	6	4	6	3	10	1	12	2	1	5	5	0	18	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0	0	2	1	1	1	2	1	1	1	1	7	0	2	0	1	1	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Firmicutes|Clostridia|Unassigned|Unassigned	2	3	1	2	0	0	5	2	0	2	0	4	1	0	0	13	0	2
Bacteria|Firmicutes|Unassigned|Unassigned|Unassigned	1	1	4	2	1	7	0	0	1	2	3	3	0	1	0	2	0	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae	5	7	5	8	3	9	16	11	13	8	13	18	12	10	14	41	15	20
