Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|polymachus	195	201	218	148	79	114	142	193	546	304	216	199	246	275	202	369	201	204
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|rhizosphaerihabitans	1	4	0	1	0	2	2	1	2	0	2	1	1	0	1	3	0	2
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|roietensis	11	9	10	3	2	8	6	14	14	3	8	18	16	3	4	12	2	7
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|thermoalkaliphilus	4	1	0	0	1	0	2	4	3	5	1	3	1	0	0	22	0	5
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Unassigned	10	13	4	7	3	3	24	31	26	15	16	9	19	5	28	133	35	8
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|urticae	5	10	1	6	0	2	7	14	16	15	3	1	6	0	2	11	0	13
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|xiangtanensis	0	0	2	9	0	1	1	2	3	3	0	2	0	0	0	0	1	4
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|cavernae	5	44	27	29	3	8	20	28	13	14	31	4	11	30	16	8	5	22
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|flavida	5	3	0	0	1	6	9	3	4	2	3	3	2	1	3	0	25	14
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|indica	0	2	0	2	1	2	1	0	1	1	2	0	1	2	6	0	14	3
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Sphaerisporangium|corydalis	0	0	0	14	0	0	0	4	0	0	0	0	1	1	1	0	1	0
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|Actinocorallia|populi	107	115	27	174	46	75	63	110	44	89	96	70	140	149	78	115	165	85
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Unassigned|Unassigned|Unassigned	3	3	1	4	2	3	7	12	7	7	8	4	6	3	4	5	4	9
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	56	111	118	66	44	66	48	63	67	76	64	73	116	79	74	75	69	73
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Fannyhessea|vaginae	4	3	3	0	0	1	15	7	9	0	5	16	3	3	12	7	2	3
Bacteria|Actinobacteria|Coriobacteriia|Unassigned|Unassigned|Unassigned|Unassigned	3	3	3	1	0	3	3	7	4	0	2	3	2	1	2	2	0	1
Bacteria|Actinobacteria|Nitriliruptoria|Egibacterales|Egibacteraceae|Egibacter|rhizosphaerae	7	5	5	1	1	7	6	16	5	6	8	12	2	9	7	10	3	5
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter|spartanus	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae|Baekduia|soli	49	72	49	66	37	57	86	96	52	63	65	91	74	38	59	37	70	50
