"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"297","OE5",0.0390214618039922,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"838","OE5",0.0390214618039922,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Other"
"1035","OE5",0.0390214618039922,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"2663","OE5",0.0390214618039922,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Other"
"3018","OE5",0.0390214618039922,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1567","KO5",0.0385109114249037,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"3807","KO3",0.0385099227234217,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Other"
"151","WT3",0.0382796051732152,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Other"
"207","WT3",0.0382796051732152,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"1274","WT3",0.0382796051732152,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"210","WT4",0.0379218809252939,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Other"
"273","WT4",0.0379218809252939,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"752","KO6",0.0378931413414172,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Other"
"1037","KO6",0.0378931413414172,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Other"
"1104","KO6",0.0378931413414172,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Other"
"1589","KO6",0.0378931413414172,"KO","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Other"
"3767","KO6",0.0378931413414172,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1342","WT6",0.0376384557479299,"WT","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Other"
"2709","WT6",0.0376384557479299,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3019","WT6",0.0376384557479299,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"614","OE3",0.0375375375375375,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Other"
"788","OE6",0.0374426659178133,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"670","WT5",0.0373492690214492,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3229","WT5",0.0373492690214492,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"26","OE1",0.0369947899004224,"OE","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis","Other"
"2726","OE1",0.0369947899004224,"OE","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Other"
"1582","KO4",0.0367396210570514,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"2626","KO4",0.0367396210570514,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Other"
"3015","KO4",0.0367396210570514,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3223","KO4",0.0367396210570514,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"530","KO4",0.0367396210570514,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Other"
"1576","WT2",0.0364706801781853,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"3110","WT2",0.0364706801781853,"WT","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"3792","WT2",0.0364706801781853,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1783","OE4",0.036427660737053,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"3221","OE4",0.036427660737053,"OE","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Other"
