"","taxon.name"
"1025","ASV_926"
"1026","ASV_2040"
"1027","ASV_1707"
"1028","ASV_2624"
"1029","ASV_2234"
"1030","ASV_878"
"1031","ASV_230"
"1032","ASV_1217"
"1033","ASV_231"
"1034","ASV_1062"
"1035","ASV_2644"
"1036","ASV_558"
"1037","ASV_608"
"1038","ASV_629"
"1039","ASV_233"
"1040","ASV_649"
"1041","ASV_240"
"1042","ASV_614"
"1043","ASV_548"
"1044","ASV_1507"
"1045","ASV_2787"
"1046","ASV_604"
"1047","ASV_2295"
"1048","ASV_891"
"1049","ASV_2863"
"1050","ASV_1312"
"1051","ASV_293"
"1052","ASV_2214"
"1053","ASV_243"
"1054","ASV_2817"
"1055","ASV_816"
"1056","ASV_1900"
"1057","ASV_2171"
"1058","ASV_2096"
"1059","ASV_2750"
"1060","ASV_332"
"1061","ASV_1260"
"1062","ASV_1102"
"1063","ASV_677"
"1064","ASV_1092"
"1065","ASV_2097"
"1066","ASV_2209"
"1067","ASV_2263"
"1068","ASV_245"
"1069","ASV_534"
"1070","ASV_961"
"1071","ASV_1628"
"1072","ASV_1771"
"1073","ASV_470"
"1074","ASV_957"
"1075","ASV_592"
"1076","ASV_2696"
"1077","ASV_719"
"1078","ASV_764"
"1079","ASV_1163"
"1080","ASV_2542"
"1081","ASV_2598"
"1082","ASV_1268"
"1083","ASV_2000"
"1084","ASV_2650"
"1085","ASV_2020"
"1086","ASV_2061"
"1087","ASV_2189"
"1088","ASV_2192"
"1089","ASV_2849"
"1090","ASV_2419"
"1091","ASV_260"
"1092","ASV_428"
"1093","ASV_1393"
"1094","ASV_292"
"1095","ASV_2443"
"1096","ASV_262"
"1097","ASV_875"
"1098","ASV_923"
"1099","ASV_605"
"1100","ASV_2782"
"1101","ASV_2304"
"1102","ASV_654"
"1103","ASV_1089"
"1104","ASV_2406"
"1105","ASV_264"
"1106","ASV_665"
"1107","ASV_1292"
"1108","ASV_744"
"1109","ASV_2450"
"1110","ASV_877"
"1111","ASV_1309"
"1112","ASV_1463"
"1113","ASV_1494"
"1114","ASV_2815"
"1115","ASV_2407"
"1116","ASV_2394"
"1117","ASV_265"
"1118","ASV_874"
"1119","ASV_944"
"1120","ASV_1835"
"1121","ASV_567"
"1122","ASV_807"
"1123","ASV_1502"
"1124","ASV_1989"
"1125","ASV_2102"
