"","id","Abundance","Group","Kingdom","Phylum","Class"
"624","KO4",0.00262425864693224,"KO","Bacteria","Verrucomicrobia","Other"
"92","WT2",0.00260504858415609,"WT","Bacteria","Acidobacteria","Other"
"216","WT2",0.00260504858415609,"WT","Bacteria","Armatimonadetes","Other"
"440","WT2",0.00260504858415609,"WT","Bacteria","Ignavibacteriae","Other"
"64","KO5",0.00256739409499358,"KO","Bacteria","Acidobacteria","Other"
"73","KO5",0.00256739409499358,"KO","Bacteria","Acidobacteria","Other"
"102","KO5",0.00256739409499358,"KO","Bacteria","Acidobacteria","Other"
"110","KO5",0.00256739409499358,"KO","Bacteria","Acidobacteria","Other"
"152","KO5",0.00256739409499358,"KO","Bacteria","Acidobacteria","Other"
"120","KO3",0.00256732818156145,"KO","Bacteria","Acidobacteria","Other"
"285","KO3",0.00256732818156145,"KO","Bacteria","Chloroflexi","Other"
"438","KO3",0.00256732818156145,"KO","Bacteria","Ignavibacteriae","Other"
"19","OE4",0,"OE","Bacteria","Acidobacteria","Other"
"25","KO2",0,"KO","Bacteria","Acidobacteria","Other"
"26","KO5",0,"KO","Bacteria","Acidobacteria","Other"
"27","WT1",0,"WT","Bacteria","Acidobacteria","Other"
"29","KO6",0,"KO","Bacteria","Acidobacteria","Other"
"30","KO1",0,"KO","Bacteria","Acidobacteria","Other"
"31","KO4",0,"KO","Bacteria","Acidobacteria","Other"
"34","KO3",0,"KO","Bacteria","Acidobacteria","Other"
"35","OE2",0,"OE","Bacteria","Acidobacteria","Other"
"72","KO3",0,"KO","Bacteria","Acidobacteria","Other"
"99","KO4",0,"KO","Bacteria","Acidobacteria","Other"
"149","KO3",0,"KO","Bacteria","Acidobacteria","Other"
"150","WT2",0,"WT","Bacteria","Acidobacteria","Other"
"161","WT5",0,"WT","Bacteria","Acidobacteria","Other"
"202","KO1",0,"KO","Bacteria","Armatimonadetes","Other"
"209","KO6",0,"KO","Bacteria","Armatimonadetes","Other"
"210","WT3",0,"WT","Bacteria","Armatimonadetes","Other"
"212","WT4",0,"WT","Bacteria","Armatimonadetes","Other"
