"","id","Abundance","Group","Kingdom","Phylum"
"111","WT6",1.8926766318959,"WT","Bacteria","Chloroflexi"
"122","OE5",1.85502026114363,"OE","Bacteria","Chloroflexi"
"123","KO2",1.81818181818182,"KO","Bacteria","Chloroflexi"
"143","OE5",1.80999549752364,"OE","Bacteria","Firmicutes"
"268","WT4",1.76336746302617,"WT","Bacteria","Unassigned"
"254","OE5",1.73195257391565,"OE","Bacteria","Unassigned"
"120","WT3",1.7307850053318,"WT","Bacteria","Chloroflexi"
"110","KO4",1.66377998215504,"KO","Bacteria","Chloroflexi"
"121","OE6",1.64123685606415,"OE","Bacteria","Chloroflexi"
"135","KO6",1.62669842472798,"KO","Bacteria","Firmicutes"
"114","OE4",1.62406654119361,"OE","Bacteria","Chloroflexi"
"129","KO1",1.62193066923447,"KO","Bacteria","Firmicutes"
"262","OE3",1.58523908523909,"OE","Bacteria","Unassigned"
"131","KO3",1.4916176734872,"KO","Bacteria","Firmicutes"
"113","KO5",1.45314505776637,"KO","Bacteria","Chloroflexi"
"115","KO1",1.41730861819933,"KO","Bacteria","Chloroflexi"
"126","WT4",1.4004008884555,"WT","Bacteria","Chloroflexi"
"270","WT6",1.34691902355092,"WT","Bacteria","Unassigned"
"261","KO4",1.34624468587624,"KO","Bacteria","Unassigned"
