"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"168","WT6",1.28777287880417,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"172","KO3",1.28109676259916,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"175","KO4",1.26226840917441,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"261","WT2",1.23739807747414,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"377","WT5",1.22985807277772,"WT","Bacteria","Chloroflexi","Chloroflexia","Other"
"171","WT2",1.21916273738505,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"421","WT5",1.20851563333689,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"176","OE6",1.19816530937003,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"167","WT4",1.18099572024487,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"253","WT1",1.1577849675125,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"736","WT1",1.1577849675125,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"256","WT6",1.14797290031186,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"424","KO4",1.14680102870939,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"165","OE2",1.13896589128601,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"166","WT5",1.1364849002241,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"257","KO1",1.13444872412133,"KO","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"270","OE2",1.12691334217187,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"174","WT3",1.11557706504799,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"419","OE2",1.10582138122213,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"368","OE2",1.09376883210799,"OE","Bacteria","Chloroflexi","Chloroflexia","Other"
"698","OE2",1.08774255755092,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"264","OE6",1.05775531217823,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"85","WT3",1.0444863697263,"WT","Bacteria","Firmicutes","Bacilli","Bacillales"
"428","KO2",1.03777501037775,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"642","OE6",1.02031264626041,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"178","OE4",1.01693886224273,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"432","KO6",1.00416824554756,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"81","WT4",0.996803727179154,"WT","Bacteria","Firmicutes","Bacilli","Bacillales"
"695","KO6",0.974395063065014,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"177","WT1",0.970614187545122,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"417","KO5",0.96790757381258,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"76","WT6",0.965157543821916,"WT","Bacteria","Firmicutes","Bacilli","Bacillales"
"688","KO2",0.963055209630552,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"361","OE5",0.954524988743809,"OE","Bacteria","Chloroflexi","Chloroflexia","Other"
"636","WT3",0.954255871818008,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"692","WT5",0.923060505815815,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"420","KO3",0.92167081718056,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"255","WT5",0.875040017073952,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"639","WT4",0.874911967062138,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"645","KO2",0.855126608551266,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"180","OE3",0.843150843150843,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"551","OE2",0.8406653007111,"OE","Bacteria","Planctomycetes","Planctomycetia","Other"
"375","WT6",0.838799870953866,"WT","Bacteria","Chloroflexi","Chloroflexia","Other"
"88","WT1",0.836920773282708,"WT","Bacteria","Firmicutes","Bacilli","Bacillales"
"121","KO5",0.816431322207959,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Other"
"693","OE5",0.804442443343839,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"632","OE2",0.777389417861878,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"633","OE3",0.770963270963271,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"74","KO5",0.7599486521181,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"631","OE4",0.758909598688604,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"685","KO1",0.75830524795378,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"641","WT6",0.758146037208302,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"358","OE2",0.756297456912137,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"643","KO1",0.755296100144439,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"719","WT2",0.737228749316175,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"646","OE5",0.732402821551854,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"706","OE3",0.727650727650728,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"700","WT6",0.712442198085816,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"705","OE1",0.705983907266393,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"634","KO6",0.701023114816218,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"291","OE1",0.693652310632919,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Other"
"699","KO4",0.690180024143179,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"704","OE4",0.686054277214498,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"694","OE4",0.683018638819744,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"702","WT3",0.678095863068384,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
