Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Geminicoccaceae|Arboricoccus	0.0837287189506001	0.0867980210051211	0.0542299349240781	0.0800128020483277	0.0227117874176698	0.0670915800067092	0.111399925733383	0.0475873227372228	0.0912991874372318	0.063653723742839	0.106335844040762	0.182254196642686	0.0688112850507483	0.0842530963012891	0.0358230342109977	0.0432937916702745	0.0584893048128342	0.0858663918942126
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Reyranellaceae|Reyranella	0.1674574379012	0.199635448311778	0.224666873256895	0.120019203072492	0.0378529790294496	0.218047635021805	0.241366505755663	0.133244503664224	0.164338537387017	0.154587614804037	0.124058484714222	0.220623501199041	0.14622398073284	0.092678405931418	0.15224789539674	0.216468958351372	0.0752005347593583	0.103039670273055
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Dongia	0.409340403758489	0.503428521829702	0.255655407499225	0.280044807169147	0.151411916117798	0.201274740020127	1.04901596732269	0.628152660131341	0.547795124623391	0.545603346367191	0.558263181214001	0.633093525179856	0.507483227249269	0.454966720026961	0.483610961848469	0.640748116720062	0.250668449197861	0.394985402713378
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Thalassobaculaceae|Oceanibaculum	0.0279095729835334	0.0520788126030727	0.00774713356058258	0.0160025604096655	0	0.0251593425025159	0.0278499814333457	0.0571047872846674	0.0456495937186159	0.0272801673183596	0.0443066016836509	0.0575539568345324	0.0344056425253742	0.0252759288903867	0.00895575855274942	0.0259762750021647	0.0250668449197861	0.034346556757685
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned|Unassigned	0.176760628895711	0.156236437809218	0.178184071893399	0.0480076812289966	0.166553107729578	0.159342502515934	0.297066468622354	0.123727039116779	0.127818862412125	0.154587614804037	0.132919805050953	0.201438848920863	0.0946155169447789	0.202207431123094	0.259716998029733	0.147198891678933	0.142045454545455	0.171732783788425
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Anaplasma	0	0.0173596042010242	0	0	0.0302823832235597	0.0251593425025159	0.00928332714444857	0.0285523936423337	0	0	0.00886132033673017	0.0287769784172662	0	0.0252759288903867	0.0358230342109977	0.0173175166681098	0	0.0171732783788425
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Ferrovibrio	0.0744255279560889	0.0694384168040969	0.0852184691664084	0.0400064010241639	0.0757059580588992	0.0838644750083864	0.0928332714444857	0.10469211002189	0.0456495937186159	0.063653723742839	0.115197164377492	0.143884892086331	0.14622398073284	0.101103715561547	0.0895575855274942	0.268421508355702	0.133689839572193	0.154559505409583
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Marinibaculum	0.0558191459670667	0.00867980210051211	0	0.0240038406144983	0.0227117874176698	0.0251593425025159	0.0742666171555886	0.0190349290948891	0.0639094312060623	0.0181867782122397	0.0177226406734603	0.0191846522781775	0.0430070531567177	0.0168506192602578	0.0268672756582483	0.0779288250064941	0.00835561497326203	0.00858663918942126
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter	0.223276583868267	0.156236437809218	0.185931205453982	0.208033285325652	0.363388598682716	0.285139215028514	0.269216487189009	0.361663652802893	0.17346845613074	0.227334727652996	0.230394328754985	0.15347721822542	0.0946155169447789	0.235908669643609	0.295540032240731	0.207810200017318	0.325868983957219	0.180319422977846
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Novosphingobium	0.0837287189506001	0.0954778231056332	0.131701270529904	0.0800128020483277	0.113558937088349	0.234820530023482	0.139249907166729	0.142761968211668	0.0365196749748927	0.0545603346367191	0.106335844040762	0.0959232613908873	0.0516084637880612	0.0674024770410313	0.0985133440802436	0.086587583340549	0.0334224598930481	0.128799587841319
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	1.4233882221602	1.56236437809218	2.28540440037186	2.40038406144983	2.23332576273753	1.9959745051996	1.20683252877831	0.85657180927001	0.97690130557838	0.918432299718105	1.01905183872397	1.50599520383693	0.748322724926888	1.34804954082063	0.877664338169443	1.54125898346177	1.04445187165775	1.03039670273055
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis	0.269792538840822	0.295113271417412	0.890920359466997	0.448071691470635	1.04474222121281	0.528346192552835	0.297066468622354	0.456838298277339	0.136948781155848	0.445576066199873	0.638015064244572	0.306954436450839	0.301049372097024	0.193782121492965	0.259716998029733	0.355009091696251	0.752005347593583	0.377812124334535
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Unassigned	0.0744255279560889	0.0347192084020484	0.0464828013634955	0	0.0151411916117798	0	0.0371333085777943	0.0761397163795565	0.0182598374874464	0.00909338910611985	0.0265839610101905	0.0383693045563549	0.0172028212626871	0.00842530963012891	0.0447787927637471	0.0432937916702745	0.00835561497326203	0.0429331959471063
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Unassigned|Unassigned	0.0372127639780445	0.00867980210051211	0.0154942671211652	0	0.0151411916117798	0	0.06498329001114	0	0.0182598374874464	0.0181867782122397	0.0354452813469207	0.0287769784172662	0.00860141063134354	0.0168506192602578	0.00895575855274942	0.0692700666724392	0.00835561497326203	0.00858663918942126
