"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter|s__Unassigned",0.00231811697574893,0.00226867606546751,0.00240006000150004,0.00160968879349992,0.00196735645584378,0.00256986829424992,0.00226662189388852,0.0021446341254182,0.00185873605947955,0.00129421915444349,0.00191831188554072,0.0034980323567993,0.000767518612326349,0.00196433967966153,0.0018018018018018,0.002133881292974,0.000758495145631068,0.000885240624497022
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Unassigned",0.00231811697574893,0.0015394587587101,0.00135003375084377,0.0015330369461904,0.000874380647041679,0.00265017667844523,0.00151108126259234,0.00300248777558549,0.00168976005407232,0.00146678170836928,0.00271760850451603,0.00192391779623962,0.00184204466958324,0.00128437594439408,0.000900900900900901,0.00189678337153244,0.0011377427184466,0.00193143408981169
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Unassigned",0.00205064194008559,0.00145843461351483,0.00255006375159379,0.00183964433542848,0.00262314194112504,0.00232894314166399,0.000755540631296172,0.000686282920133825,0.00152078404866509,0.00172562553925798,0.0015985932379506,0.00271097507651946,0.00168854094711797,0.00166213357509822,0.00163800163800164,0.00173871809057141,0.00182038834951456,0.000804764204088202
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Unassigned",0.0021398002853067,0.00129638632312429,0.00240006000150004,0.00367928867085697,0.00422617312736811,0.00168647606810151,0.00117528542646071,0.00197306339538475,0.000760392024332545,0.00103537532355479,0.00119894492846295,0.000961958898119808,0.000690766751093714,0.0018887881535207,0.00122850122850123,0.00165968545009089,0.00151699029126214,0.00104619346531466
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Unassigned|g__Unassigned|s__Unassigned",0.00106990014265335,0.0020256036298817,0.000825020625515638,0.00107312586233328,0.000655785485281259,0.00048185030517186,0.00226662189388852,0.00111520974521747,0.00177424805677594,0.00181190681622088,0.000959155942770362,0.00209881941407958,0.00391434492286438,0.0013599274705349,0.00122850122850123,0.000869359045285703,0.00242718446601942,0.0016095284081764
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Arenimonas|s__Unassigned",0.00098074179743224,0.000648193161562146,0.00217505437635941,0.00145638509888088,0.00306033226464588,0.00144555091551558,0.000755540631296172,0.000686282920133825,0.00101385603244339,0.00112165660051769,0.00415634241867157,0.00131176213379974,0.000460511167395809,0.000831066787549108,0.00212940212940213,0.00134355488816881,0.00174453883495146,0.00217286335103815
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Reyranellaceae|g__Reyranella|s__Unassigned",0.00160485021398003,0.00186355533949117,0.00217505437635941,0.0011497777096428,0.000364325269600699,0.00208801798907806,0.00218267293485561,0.00120099511023419,0.00152078404866509,0.00146678170836928,0.00111901526656542,0.0020113686051596,0.00130478164095479,0.000831066787549108,0.00139230139230139,0.00197581601201296,0.000682645631067961,0.000965717044905843
"k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Unassigned|g__Unassigned|s__Unassigned",0.00106990014265335,0.000972289742343218,0.000525013125328133,0.00107312586233328,0.00116584086272224,0.00072277545775779,0.00251846877098724,0.00128678047525092,0.000929368029739777,0.00181190681622088,0.00167852289984813,0.0014866637516397,0.00130478164095479,0.00120882441825325,0.00163800163800164,0.00237097921441555,0.0011377427184466,0.00144857556735876
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Unassigned",0.00258559201141227,0.000972289742343218,0.00142503562589065,0.00183964433542848,0.00123870591664238,0.00168647606810151,0.00117528542646071,0.000514712190100369,0.00219668807029402,0.00094909404659189,0.000399648309487651,0.000524704853519895,0.0033003300330033,0.000906618313689937,0.000982800982800983,0.000474195842883111,0.00151699029126214,0.000643811363270562
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Unassigned|s__Unassigned",0.000891583452211127,0.00186355533949117,0.000675016875421886,0.000919822167714242,0.0010929758088021,0.00224863475746868,0.0010073875083949,0.000514712190100369,0.00126732004055424,0.00181190681622088,0.000959155942770362,0.00069960647135986,0.00130478164095479,0.00075551526140828,0.00311220311220311,0.00158065280961037,0.00144114077669903,0.00104619346531466
