"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_214",-27.2338649096165,-21.6530849725144,"bac_ASV_214","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","bac",4,0.0481360098320361,473.438882230378,4
"bac_ASV_217",-24.5149650119914,22.9460156109727,"bac_ASV_217","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","Crenobacter_luteus","bac",13,0.0493905002101723,852.623054621316,13
"bac_ASV_218",-22.9975674151576,31.9511547748949,"bac_ASV_218","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",2,0.0472266881028939,18.0863335335902,2
"bac_ASV_219",-34.7219426005512,14.1235021948854,"bac_ASV_219","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",1,0.0465346534653465,0,1
"bac_ASV_22",16.7849550562678,-15.2515269541023,"bac_ASV_22","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Unassigned","bac",3,0.0459433040078201,482.156496968781,3
"bac_ASV_220",1.30450041999129,30.3564155567438,"bac_ASV_220","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_populi","bac",0,0,0,0
"bac_ASV_221",23.2596728516254,-30.882696585354,"bac_ASV_221","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",1,0.0413441238564391,0,1
"bac_ASV_223",21.8787076369361,-23.953425178903,"bac_ASV_223","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.0432462274567538,138.656995754366,2
"bac_ASV_224",24.7008055227476,23.6766052125979,"bac_ASV_224","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",0,0,0,0
"bac_ASV_226",-22.9561578879376,-23.9938179725813,"bac_ASV_226","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter_ramosus","bac",7,0.048473597359736,1635.3377988972,7
"bac_ASV_227",-1.27442307339628,-11.5249213051126,"bac_ASV_227","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Unassigned","bac",18,0.0493075954678976,765.149704984349,18
