#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3351	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Burkholderia_symbiotica
OTU_3346	Bacteria	Proteobacteria	Gammaproteobacteria	Rhizobiales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus
OTU_3352	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3	Paludibaculum_fermentans
OTU_3353	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Hyphomicrobiaceae	Aeromonas	Aeromonas_salmonicida_subsp._achromogenes
OTU_3339	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Phreatobacter_oligotrophus
OTU_3344	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Geobacter	Anaeromyxobacter_dehalogenans
OTU_3356	Bacteria	Acidobacteria	Acidobacteria_Gp1	Holophagales	Holophagaceae	Gp1	Geothrix_fermentans
OTU_3325	Bacteria	Proteobacteria	Deltaproteobacteria	Rhizobiales	Desulfuromonadaceae	Desulfovibrio	Rhodoligotrophos_appendicifer
OTU_3355	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Stella	Stella_vacuolata
OTU_3341	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Thiobacillus	Castellaniella_caeni
OTU_3357	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium_carboxidum
OTU_3331	Bacteria	candidate_division_WPS-2	Clostridia	Desulfovibrionales	Thermoanaerobacteraceae	WPS-2_genera_incertae_sedis	Syntrophaceticus_schinkii
OTU_3358	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_varians
OTU_3367	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Porphyromonas_somerae
OTU_3360	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Nitrospiraceae	Latescibacteria_genera_incertae_sedis	Desulfuromusa_ferrireducens
OTU_3361	Bacteria	Acidobacteria	Acidobacteria_Gp23	Unassigned	Unassigned	Gp23	Thermoanaerobaculum_aquaticum
OTU_3359	Bacteria	Elusimicrobia	Endomicrobia	Selenomonadales	Veillonellaceae	Candidatus_Endomicrobium	Acidaminococcus_fermentans
OTU_3363	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta
OTU_3374	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned
OTU_3343	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Coxiellaceae	Coxiella	Coxiella_burnetii
OTU_3368	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	Phaeospirillum_fulvum
OTU_3370	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_giganteus
OTU_3362	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides_bigeumensis
OTU_3372	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter_atlanticus
OTU_3373	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca
OTU_3376	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Phycisphaera	Phycisphaera_mikurensis
OTU_3384	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Armatimonadetes_gp5	Fimbriimonas_ginsengisoli
OTU_3365	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio_hydrogeniphilus
OTU_3390	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Parcubacteria_genera_incertae_sedis	Helicobacter_hepaticus
OTU_3386	Bacteria	candidate_division_WPS-2	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	WPS-2_genera_incertae_sedis	Pelobacter_seleniigenes
OTU_3366	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Herpetosiphon	Roseiflexus_castenholzii
OTU_3378	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	Escherichia_fergusonii
OTU_3392	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_helcogenes
OTU_3382	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena_maritima
OTU_3385	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiglans	Desulfatiglans_parachlorophenolica
OTU_3381	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter_woesei
OTU_3375	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloparacoccus	Methyloparacoccus_murrellii
OTU_3387	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfomonile	Desulfomonile_limimaris
OTU_3393	Bacteria	SR1	Deinococci	Deinococcales	Deinococcaceae	SR1_genera_incertae_sedis	Hymenobacter_yonginensis
OTU_3391	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Phycisphaera_mikurensis
OTU_3380	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Craurococcus	Craurococcus_roseus
OTU_3398	Bacteria	Proteobacteria	Bacilli	Bacillales	Helicobacteraceae	Meiothermus	Tepidimonas_ignava
OTU_3388	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_mannanilyticus
OTU_3389	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix	Crocinitomix_catalasitica
OTU_3401	Bacteria	Proteobacteria	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Thermodesulfovibrio	Thermoflexus_hugenholtzii
