"",Pvalues,FDR
ASV_451,0.24789,0.65849
ASV_598,0.24858,0.65849
ASV_1189,0.24892,0.65849
ASV_447,0.24899,0.65849
ASV_605,0.24965,0.65849
ASV_1307,0.24971,0.65849
ASV_729,0.24995,0.65849
ASV_2325,0.25188,0.66089
ASV_864,0.25191,0.66089
ASV_943,0.25219,0.66089
ASV_801,0.2532,0.66089
ASV_582,0.25346,0.66089
ASV_2176,0.25415,0.66089
ASV_435,0.25421,0.66089
ASV_1101,0.25439,0.66089
ASV_38,0.25601,0.66395
ASV_111,0.25695,0.66416
ASV_743,0.25706,0.66416
ASV_78,0.2578,0.66416
ASV_1464,0.25828,0.66416
ASV_150,0.25831,0.66416
ASV_1227,0.2594,0.66582
ASV_1067,0.26078,0.66765
ASV_666,0.26103,0.66765
ASV_1534,0.26176,0.66765
ASV_221,0.26279,0.66765
ASV_659,0.2634,0.66765
ASV_2851,0.26379,0.66765
ASV_530,0.26388,0.66765
ASV_1466,0.26436,0.66765
ASV_986,0.26441,0.66765
ASV_1415,0.26457,0.66765
ASV_470,0.26533,0.66846
ASV_468,0.26671,0.66991
ASV_1228,0.26731,0.66991
ASV_1459,0.26741,0.66991
ASV_1584,0.26786,0.66991
ASV_910,0.26814,0.66991
ASV_2461,0.26877,0.67037
ASV_1294,0.27065,0.67356
ASV_1246,0.27113,0.67356
ASV_902,0.27166,0.67356
ASV_496,0.27185,0.67356
ASV_458,0.27281,0.67481
ASV_1244,0.27485,0.67783
ASV_1182,0.27565,0.67783
ASV_167,0.27597,0.67783
ASV_1681,0.27669,0.67783
ASV_648,0.27695,0.67783
ASV_1319,0.27718,0.67783
ASV_1754,0.27719,0.67783
ASV_126,0.2795,0.68236
ASV_2139,0.28173,0.68669
ASV_1206,0.28376,0.69051
ASV_1117,0.28455,0.69133
ASV_971,0.28579,0.6917
ASV_1020,0.28596,0.6917
ASV_690,0.2862,0.6917
ASV_1048,0.28656,0.6917
ASV_274,0.28768,0.6917
ASV_538,0.288,0.6917
ASV_494,0.28876,0.6917
ASV_784,0.28908,0.6917
ASV_593,0.28941,0.6917
ASV_22,0.29004,0.6917
ASV_1758,0.29013,0.6917
ASV_273,0.29024,0.6917
ASV_1337,0.29079,0.69189
ASV_1507,0.29155,0.69213
ASV_332,0.29181,0.69213
ASV_1174,0.2962,0.70095
ASV_223,0.29647,0.70095
ASV_947,0.29758,0.70125
ASV_773,0.29831,0.70125
ASV_406,0.29843,0.70125
ASV_1291,0.29883,0.70125
ASV_604,0.29893,0.70125
ASV_745,0.30088,0.7045
ASV_1351,0.30126,0.7045
ASV_53,0.30345,0.70487
ASV_1475,0.30366,0.70487
ASV_1143,0.30382,0.70487
ASV_1490,0.30426,0.70487
ASV_981,0.30467,0.70487
ASV_946,0.30527,0.70487
ASV_407,0.30574,0.70487
ASV_816,0.30614,0.70487
ASV_942,0.30684,0.70487
ASV_756,0.30687,0.70487
ASV_788,0.30753,0.70487
ASV_2086,0.3076,0.70487
ASV_1375,0.30765,0.70487
ASV_1650,0.308,0.70487
ASV_938,0.31035,0.70918
ASV_1574,0.31334,0.71454
ASV_8,0.31366,0.71454
ASV_798,0.31557,0.71782
ASV_1508,0.3178,0.72128
ASV_253,0.3185,0.72128
ASV_2237,0.31899,0.72128
ASV_2436,0.31902,0.72128
ASV_704,0.32134,0.7254
ASV_233,0.32181,0.7254
ASV_382,0.32243,0.7257
ASV_99,0.32368,0.72684
ASV_1617,0.32436,0.72684
ASV_1398,0.32489,0.72684
ASV_887,0.32554,0.72684
ASV_1890,0.32599,0.72684
ASV_1472,0.32641,0.72684
ASV_2490,0.32671,0.72684
ASV_1015,0.32741,0.72684
ASV_2475,0.32797,0.72684
ASV_644,0.32809,0.72684
ASV_557,0.32826,0.72684
ASV_1546,0.32969,0.72891
ASV_1114,0.33063,0.72932
ASV_1267,0.33085,0.72932
ASV_781,0.33187,0.73034
ASV_706,0.33338,0.73034
ASV_1964,0.33368,0.73034
ASV_341,0.33391,0.73034
ASV_536,0.33395,0.73034
ASV_1834,0.33529,0.73034
ASV_918,0.33635,0.73034
ASV_906,0.33649,0.73034
ASV_279,0.33649,0.73034
ASV_164,0.33733,0.73034
ASV_873,0.33741,0.73034
ASV_576,0.33753,0.73034
ASV_68,0.33832,0.73034
ASV_1355,0.33858,0.73034
ASV_1018,0.33862,0.73034
ASV_733,0.34125,0.73497
ASV_1091,0.34174,0.73497
ASV_44,0.34252,0.73537
ASV_2729,0.34329,0.73537
ASV_439,0.34657,0.73537
ASV_489,0.34668,0.73537
ASV_1284,0.34691,0.73537
ASV_2335,0.34734,0.73537
ASV_227,0.34737,0.73537
ASV_803,0.348,0.73537
ASV_642,0.3481,0.73537
ASV_715,0.34829,0.73537
ASV_431,0.34912,0.73537
ASV_294,0.34944,0.73537
ASV_98,0.34974,0.73537
ASV_243,0.34976,0.73537
ASV_394,0.34992,0.73537
ASV_1448,0.35012,0.73537
ASV_280,0.35053,0.73537
ASV_842,0.35115,0.73537
ASV_346,0.35185,0.73537
ASV_2209,0.35222,0.73537
ASV_1030,0.35223,0.73537
ASV_859,0.35311,0.73578
ASV_1540,0.35341,0.73578
ASV_742,0.35455,0.736
ASV_695,0.35483,0.736
ASV_1229,0.3552,0.736
ASV_482,0.35548,0.736
ASV_965,0.35639,0.73688
ASV_356,0.35742,0.73798
ASV_1868,0.35808,0.73833
ASV_512,0.36012,0.74014
ASV_188,0.36037,0.74014
ASV_1483,0.36044,0.74014
ASV_1554,0.36496,0.74774
ASV_1147,0.36562,0.74774
ASV_314,0.36582,0.74774
ASV_370,0.36649,0.74774
ASV_1382,0.36664,0.74774
ASV_1704,0.36862,0.75077
ASV_124,0.37044,0.75326
ASV_2225,0.37085,0.75326
ASV_524,0.37201,0.75366
ASV_1097,0.37205,0.75366
ASV_81,0.37337,0.75521
ASV_1521,0.37383,0.75521
ASV_1772,0.37624,0.7581
ASV_2532,0.37644,0.7581
ASV_990,0.37678,0.7581
ASV_392,0.3809,0.76301
ASV_1016,0.38107,0.76301
ASV_609,0.38113,0.76301
ASV_1757,0.3813,0.76301
ASV_543,0.38176,0.76301
ASV_2360,0.38241,0.76329
ASV_791,0.38503,0.76732
ASV_1558,0.3856,0.76732
ASV_891,0.38596,0.76732
ASV_592,0.38789,0.77013
ASV_400,0.38955,0.7724
ASV_276,0.39043,0.77252
ASV_295,0.39099,0.77252
ASV_1542,0.39116,0.77252
ASV_871,0.39173,0.77265
ASV_285,0.39268,0.77281
ASV_404,0.39285,0.77281
ASV_440,0.39375,0.77356
ASV_1973,0.39463,0.7742
ASV_907,0.39543,0.7742
ASV_83,0.39562,0.7742
ASV_1014,0.39639,0.7747
ASV_37,0.39806,0.77618
ASV_1361,0.39819,0.77618
ASV_1422,0.39896,0.77669
ASV_760,0.40001,0.77708
ASV_241,0.4002,0.77708
ASV_25,0.40271,0.77994
ASV_89,0.40372,0.77994
ASV_930,0.40548,0.77994
ASV_1783,0.40555,0.77994
ASV_1329,0.4064,0.77994
ASV_284,0.4066,0.77994
ASV_104,0.40676,0.77994
ASV_114,0.40747,0.77994
ASV_452,0.40796,0.77994
ASV_941,0.40816,0.77994
ASV_1176,0.40997,0.77994
ASV_737,0.41008,0.77994
ASV_1092,0.41008,0.77994
ASV_1383,0.41025,0.77994
ASV_20,0.41094,0.77994
ASV_616,0.41105,0.77994
ASV_1392,0.41111,0.77994
ASV_2808,0.41149,0.77994
ASV_250,0.41156,0.77994
ASV_1647,0.41333,0.7823
ASV_1682,0.41617,0.7852
ASV_1001,0.41684,0.7852
ASV_100,0.41744,0.7852
ASV_1299,0.41781,0.7852
ASV_2147,0.41785,0.7852
ASV_1938,0.41864,0.7852
ASV_1651,0.41958,0.7852
ASV_84,0.41974,0.7852
ASV_1452,0.42008,0.7852
ASV_2301,0.42086,0.7852
ASV_146,0.42096,0.7852
ASV_122,0.42115,0.7852
ASV_57,0.42188,0.78558
ASV_86,0.42311,0.78558
ASV_595,0.42406,0.78558
ASV_1948,0.42419,0.78558
ASV_804,0.42662,0.78558
ASV_278,0.42701,0.78558
ASV_2025,0.42723,0.78558
ASV_908,0.42767,0.78558
ASV_1314,0.42781,0.78558
ASV_829,0.42793,0.78558
ASV_1356,0.42805,0.78558
ASV_955,0.42806,0.78558
ASV_497,0.42832,0.78558
ASV_1455,0.42909,0.78558
ASV_1098,0.42973,0.78558
ASV_2302,0.43108,0.78558
ASV_290,0.4315,0.78558
ASV_442,0.43182,0.78558
ASV_1019,0.43201,0.78558
ASV_754,0.43202,0.78558
ASV_354,0.43264,0.78558
ASV_1031,0.43339,0.78558
ASV_422,0.43367,0.78558
ASV_135,0.43393,0.78558
ASV_430,0.43549,0.78746
ASV_181,0.43666,0.78772
ASV_152,0.43791,0.78772
ASV_1427,0.43798,0.78772
ASV_1259,0.43809,0.78772
ASV_999,0.43826,0.78772
