"",Pvalues,FDR,KO,OE,WT,LDAscore
ASV_646,0.064397,0.24563,975.68,2346.7,2197.1,2.84
ASV_560,0.064397,0.24563,4020.3,2679.2,2140,2.97
ASV_282,0.064397,0.24563,9045.2,4288.2,3784.8,3.42
ASV_425,0.064397,0.24563,1524.9,6021.6,3772.2,3.35
ASV_377,0.064397,0.24563,3238.1,4801.5,3031.9,2.95
ASV_1684,0.064756,0.24582,1168.2,164.15,684.65,2.7
ASV_1230,0.064775,0.24582,1134.4,1363.4,667.13,2.54
ASV_535,0.066697,0.2512,3340.5,4239.2,1872.9,3.07
ASV_914,0.066697,0.2512,869.67,2375.4,1737.2,2.88
ASV_470,0.066697,0.2512,2179.2,5199.8,3022.7,3.18
ASV_2139,0.068052,0.25567,145.78,667.27,718.51,2.46
ASV_2509,0.0689,0.25631,452.63,1378.2,290.3,2.74
ASV_1055,0.069078,0.25631,1219.5,2725.2,2186.3,2.88
