#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_8875	0	0	0	0	0	0	0	0	0	0	0	0	8	62	134	2	0	0	3	1	18	0	0	3	1	1	0	5	0	0	0	0	0	0	0
OTU_4815	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	2	1	5	63	3	0	0	0	0	0
OTU_5067	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	6	0	0	3	1	0	3	0	0	6	5	4	0	0	0	0	0	0	0	0
OTU_4656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	6	6	2	12	115	3	0	0	0	0	0
OTU_7013	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	2	6	2	0	0	1	16	3	18	0	0	0	0	0	0	0	0
OTU_2123	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10008	0	0	0	0	0	0	0	0	0	0	0	0	4	0	27	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_9148	0	0	0	0	0	0	0	0	0	0	0	0	8	9	13	5	0	0	8	0	9	5	0	5	1	0	0	2	0	0	0	0	0	0	0
OTU_7164	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	5	1	82	4	0	5	1	0	12	2	0	0	0	0	0
OTU_9937	0	0	0	0	0	0	0	0	0	0	0	0	3	12	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9885	0	0	0	0	0	0	0	0	0	0	0	0	1	9	15	0	1	0	0	3	16	1	20	12	2	2	1	1	0	0	0	1	1	0	0
OTU_8025	0	0	0	0	0	0	0	0	0	0	0	0	10	2	61	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0
