"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_26276",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"ASV_13111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ASV_29523",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_31410",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ASV_9825",5,0,0,1,2,0,1,0,0,0,0,0,2,4,20,0,9,0
"ASV_19736",0,0,0,0,0,0,1,0,2,0,0,0,0,0,18,0,0,0
"ASV_28299",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26148",0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0
"ASV_15055",2,0,0,0,0,0,1,2,0,2,0,0,3,3,0,0,10,0
"ASV_34262",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV_19814",3,0,0,2,2,3,0,0,1,1,0,0,0,0,0,0,0,0
"ASV_30040",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_24153",4,0,0,0,3,0,4,0,0,0,0,0,0,0,19,0,0,0
"ASV_11710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32388",0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
"ASV_16577",0,0,9,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0
"ASV_27488",0,0,0,0,0,0,2,1,0,0,0,0,0,0,10,0,0,0
"ASV_5374",0,25,22,4,9,1,21,1,2,7,6,0,2,5,73,0,0,0
"ASV_4070",5,6,3,17,6,7,9,5,10,3,0,0,0,3,39,0,6,0
"ASV_4681",2,1,4,0,7,1,8,6,15,3,6,0,0,7,9,11,8,8
"ASV_22910",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25031",0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
"ASV_13148",0,0,2,0,34,0,1,1,1,1,0,7,0,2,0,0,4,0
"ASV_4098",23,0,9,42,27,0,9,2,0,4,0,1,0,6,0,0,0,0
"ASV_9800",0,2,0,42,5,1,10,5,0,5,0,5,0,5,0,0,8,0
"ASV_26225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
