"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT"
"Oxalobacteraceae",1.05423237410461,"enriched",0.000697082908125365,0.489619517974911,"nosig",0.112142119331896,-0.564612856129698,"nosig",0.0673115948123603,0.0680675407474473,0.0428894384222848,0.055686673171969
"Paenibacillaceae_1",0.277402061434114,"nosig",0.576032594972738,2.0427944837356,"enriched",7.74534415267368e-05,1.76539242230149,"enriched",0.000570530211819458,0.00799754252517607,0.00890576195165647,0.00225398483709986
"Paenibacillaceae_2",0.40180370406376,"nosig",0.451061153972579,1.64765184800451,"enriched",0.00489373483354141,1.24584814394075,"nosig",0.0346748298742453,0.000206500587385384,0.000202102103802983,7.19813324093145e-05
"Parachlamydiaceae",-0.297383741230174,"nosig",0.514702901549487,-0.362501943152589,"nosig",0.426371142691295,-0.0651182019224157,"nosig",0.881829363390889,0.000158352834759826,0.000252722339012474,0.000227351255979445
"Peptostreptococcaceae",0.185601436932306,"nosig",0.672124993194143,0.36541887671964,"nosig",0.410454436023869,0.179817439787335,"nosig",0.684296446293654,0.00027715240671584,0.000320488145773931,0.000241283522126198
"Phyllobacteriaceae",0.753028062464252,"enriched",0.00224900868186242,0.392989526410623,"nosig",0.108535785674749,-0.360038536053629,"nosig",0.143063100290241,0.0078624196225212,0.00607795222464587,0.00683009321832603
"Planctomycetaceae",-1.96846313471867,"depleted",3.32258859762189e-06,-0.984948086867822,"nosig",0.0181481530282674,0.983515047850849,"nosig",0.0159649298124023,0.000943545619265052,0.00460144204066427,0.00200620861039554
"Planococcaceae",-0.618704398506012,"nosig",0.156807342608412,0.209319619990464,"nosig",0.640297631044824,0.828024018496476,"nosig",0.0582470544621769,0.000399264191136784,0.000818051034991971,0.000389698428786799
"Polyangiaceae",-0.142064665055515,"nosig",0.614093825855167,0.174192352234494,"nosig",0.538306518344976,0.316257017290009,"nosig",0.261557757368111,0.00259083885455944,0.00374524541825811,0.00260952644044431
"Prolixibacteraceae",0,"nosig",1,-4.4404403697088,"depleted",0.00242992622647209,-4.4404403697088,"depleted",0.00173195821400746,0,0,7.74706295172213e-05
"Promicromonosporaceae",0.230722522370432,"nosig",0.511109502522949,0.470196356103094,"nosig",0.182492566981173,0.239473833732662,"nosig",0.496867119541818,0.00240232218850076,0.00250795500929142,0.00184890056497979
"Propionibacteriaceae",-0.119704434711644,"nosig",0.826514693179068,0.209892707774221,"nosig",0.708528581768406,0.329597142485865,"nosig",0.547081307704657,0.000126318168446752,0.000173674015449192,0.000116332046115856
"Pseudomonadaceae",0.252976363798973,"nosig",0.449640998817021,-0.107613063044746,"nosig",0.747588828773888,-0.360589426843719,"nosig",0.281429855888537,0.0507971095884166,0.0571223271430573,0.0640085359179983
"Pseudonocardiaceae",0.726794133874558,"enriched",0.00156560588647079,0.087787960941529,"nosig",0.700878484386533,-0.639006172933029,"nosig",0.00537394624890473,0.0723515198051514,0.0555424975360381,0.0751690821646518
"Rhizobiaceae",0.970173085995019,"enriched",0.00336673041449484,0.752843427756633,"nosig",0.0223775443927751,-0.217329658238386,"nosig",0.507826594267542,0.0386891664291457,0.0270726704728808,0.0273043986962698
"Rhizobiales_incertae_sedis",-0.0236547698121339,"nosig",0.954675735313443,0.472417840115009,"nosig",0.268295883370254,0.496072609927143,"nosig",0.23942242314876,0.000445993025073685,0.000620540254944055,0.000390713376100648
"Rhodobacteraceae",-0.0203214930335621,"nosig",0.949479410927477,0.510621013179346,"nosig",0.124013971816917,0.530942506212908,"nosig",0.105231245458338,0.000511583464159427,0.00065513196800439,0.000393835030018094
"Rhodobiaceae",0.189233239373471,"nosig",0.46265587745847,0.425406649941144,"nosig",0.101864280293085,0.236173410567673,"nosig",0.362593337114115,0.00166871241888659,0.00192188083326971,0.00139012658176202
"Rhodocyclaceae",0.398198793170039,"nosig",0.478099635103474,-0.201938923843817,"nosig",0.70615177455037,-0.600137717013856,"nosig",0.27051652969747,0.000116235936787727,0.000109352457888172,0.000151951368844207
"Rhodospirillaceae",-0.486311912197594,"nosig",0.0322913438926454,-0.334685699399705,"nosig",0.141024170754821,0.15162621279789,"nosig",0.500782126394661,0.00391475117635584,0.00677698901939705,0.00532271957918603
"Rubrobacteraceae",-0.415838056967962,"nosig",0.237439875826769,-0.255264716287691,"nosig",0.472043444768957,0.160573340680271,"nosig",0.642001673089677,0.000462539689503359,0.000752148692194858,0.000576673161548224
"Ruminococcaceae",-1.67749530498961,"nosig",0.0175803242710275,-0.0854935643120826,"nosig",0.918120260288841,1.59200174067753,"nosig",0.0190851985492694,2.37932678698094e-05,0.000100365316931355,2.67631692693078e-05
"Sandaracinaceae",0.88563560016096,"enriched",0.00245995340436645,0.228537682096978,"nosig",0.426161940237195,-0.657097918063982,"nosig",0.0242384569404318,0.002254043545069,0.00162601006039605,0.00226427740630325
"Sinobacteraceae",-0.263660947337204,"nosig",0.15802387505551,-0.449672271781287,"nosig",0.0161432824194428,-0.186011324444083,"nosig",0.318225178727263,0.027556300182782,0.0420272214273568,0.0417458807368153
"Sneathiellaceae",0.470272828395003,"nosig",0.150763372939692,-0.269167666852646,"nosig",0.398388434236473,-0.739440495247649,"nosig",0.0217859281533183,0.000794269026262031,0.000743130596885959,0.00108741475606086
"Solirubrobacteraceae",-0.28124147158114,"nosig",0.274633776273123,0.333461306491628,"nosig",0.200413148279701,0.614702778072768,"nosig",0.0175638240776223,0.00256205219893266,0.00393516815416507,0.00219007610520526
"Sphingobacteriaceae",0.367225644219369,"nosig",0.325558465173575,-0.147852057031913,"nosig",0.688905652957665,-0.515077701251282,"nosig",0.164890773024692,0.000982267548094207,0.00100263285444367,0.00124340121111155
"Sphingomonadaceae",1.13799597409426,"enriched",6.87675954821818e-05,0.944449929127405,"enriched",0.000908759457835877,-0.193546044966856,"nosig",0.493970969117315,0.0238709381968759,0.0147180994913604,0.014653198043493
"Spirochaetaceae",-0.997028828674825,"nosig",0.0572851789245897,-1.12292854364528,"nosig",0.0311886606109657,-0.125899714970452,"nosig",0.792116338279934,0.000104546011692308,0.000266505536481384,0.000258660693924498
"Streptomycetaceae",-0.523786740005703,"nosig",0.129886889451983,-0.604019740763385,"nosig",0.080961248092306,-0.0802330007576822,"nosig",0.815943030796341,0.0239855201385131,0.0416329371725686,0.0401092346275572
"Streptosporangiaceae",-0.0412446647461725,"nosig",0.910634170463261,-0.0950293663614274,"nosig",0.795913338920317,-0.0537847016152549,"nosig",0.883465846854647,0.00323153512778694,0.00398956655433995,0.00359259728153161
"Thermoactinomycetaceae_1",1.64632271732837,"nosig",0.159759813288003,-1.82166688808889,"nosig",0.0916440892398431,-3.46798960541726,"depleted",0.00354132666924701,5.01572841136914e-05,1.54226359969499e-05,0.000184489019457674
"Thermoactinomycetaceae_2",-0.428380470647734,"nosig",0.380575320637438,0.484253329985289,"nosig",0.333714381433413,0.912633800633023,"nosig",0.0653561416768464,0.000414321245680244,0.000672881375350617,0.000319127420811237
"Thermomonosporaceae",0.149325502350516,"nosig",0.521086497379899,-0.529766900686971,"nosig",0.0230562284257858,-0.679092403037488,"depleted",0.00363541195554382,0.0404025819012633,0.0451426047738927,0.0625976255162055
"Unassigned",0.252736429113298,"nosig",0.126501310071467,0.190524676475626,"nosig",0.249214693435911,-0.062211752637672,"nosig",0.706647616527357,0.220045790668975,0.237959810998588,0.217680989635012
"Verrucomicrobiaceae",-1.51251270652331,"depleted",0.00146289573783803,-1.06145168352237,"nosig",0.0270741395747585,0.45106102300094,"nosig",0.308750731508736,0.000175381417135923,0.000697380176827179,0.000431791640335164
"Xanthobacteraceae",0.236169162036573,"nosig",0.703662838169232,2.45280530452497,"enriched",0.00200767573058093,2.2166361424884,"nosig",0.00556856396201033,8.28849452721575e-05,8.61076989652586e-05,1.3552374029338e-05
"Xanthomonadaceae",0.523569805119209,"nosig",0.0493808814704851,0.280157607835895,"nosig",0.291826962770197,-0.243412197283314,"nosig",0.359914680263482,0.0231554465775982,0.0213746887559864,0.0223290890761809
