"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus","species"
"ASV_1953",-2.26380884750959,"nosig",0.0530342468215205,-1.35931361607315,"nosig",0.249790146749138,0.904495231436435,"nosig",0.401072786590995,1.383700013837e-05,8.97595677048832e-05,4.05968456131287e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_2",1.39140447117753,"enriched",2.7562065342275e-05,0.832365039555105,"nosig",0.0111250144075219,-0.559039431622421,"nosig",0.0873391571776027,0.055617943082605,0.0260557865074061,0.0329066649937769,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Pelomonas_puraquae"
"ASV_97",1.24524761079599,"nosig",0.0125278710384462,0.39280356198354,"nosig",0.422344129409999,-0.852444048812449,"nosig",0.0858595767265754,0.0020716488262139,0.00112749608739793,0.00168156005128127,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Pelomonas_puraquae"
"ASV_350",0.252602344671894,"nosig",0.715228497510477,-1.3699782245689,"nosig",0.0460174990714481,-1.6225805692408,"nosig",0.0189780639536757,0.000267641835868363,0.000270411268990114,0.00067794180147703,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Pelomonas_puraquae"
"ASV_1061",-0.288461289352402,"nosig",0.710412274933035,-1.78779032140323,"nosig",0.0144722081986375,-1.49932903205083,"nosig",0.0331521095909766,4.391751754906e-05,7.13437559233972e-05,0.000174236775610047,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_1580",-0.505623972790817,"nosig",0.568907760042719,-0.298819398120379,"nosig",0.736771982198704,0.206804574670437,"nosig",0.812156079575976,4.49160488083404e-05,8.03553413555373e-05,6.36135208035037e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_2584",-0.108064528443879,"nosig",0.900600072383324,-0.939649320916642,"nosig",0.239713778764916,-0.831584792472763,"nosig",0.282104926890123,2.20126167724405e-05,3.03035023549093e-05,4.94634760990975e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_145",1.10725994396296,"nosig",0.0251207616051094,-0.0457202604152794,"nosig",0.924434192889913,-1.15298020437824,"nosig",0.0195782840504369,0.00111803414961212,0.000660575443636618,0.00127403774564784,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Unassigned"
"ASV_237",0.828608849779477,"nosig",0.00977805378715103,0.021807637152201,"nosig",0.943900653398125,-0.806801212627276,"nosig",0.0117570388770952,0.000942017681506294,0.000632797621497586,0.000946167892321599,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_1046",0.988848933066054,"nosig",0.0548765693213572,1.00668865910453,"nosig",0.0522732071281037,0.0178397260384745,"nosig",0.974720696316673,0.00017781410408934,0.000111293206826741,9.42402551362842e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned"
"ASV_2719",-1.23812724917739,"nosig",0.339495111269271,-2.01741862162376,"nosig",0.117663020957018,-0.779291372446372,"nosig",0.514766021010085,9.22466675891333e-06,2.92006893264716e-05,4.93896772332525e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned"
"ASV_1092",0.860625018910502,"nosig",0.0978349314455921,0.137730267872758,"nosig",0.777448368911791,-0.722894751037744,"nosig",0.166014594301211,0.000134212564830252,9.0830714619349e-05,0.000129968802871291,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned"
"ASV_358",0.167983457030913,"nosig",0.603498574146878,0.0376188809880879,"nosig",0.906984376637936,-0.130364576042825,"nosig",0.685428122090435,0.000355759715167992,0.000393523893122397,0.000366386779980528,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned"
"ASV_1285",-0.121388551006599,"nosig",0.896104480413585,-0.133231562384567,"nosig",0.885655221433366,-0.0118430113779677,"nosig",0.989309820946152,6.64695349106281e-05,9.07044738649596e-05,8.10330993612625e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_1935",0.82653309280182,"nosig",0.173177709028606,0.660802640527376,"nosig",0.272201351617886,-0.165730452274444,"nosig",0.795934357584871,0.000104716080351233,7.06475611079419e-05,6.67140728437062e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned"
"ASV_1163",-0.705102744601166,"nosig",0.278798445817976,-0.96730121951097,"nosig",0.132788945324665,-0.262198474909804,"nosig",0.660856113139677,5.47023835588127e-05,0.000111047497519329,0.00011141057937032,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Rubrivivax","Rubrivivax_gelatinosus"
"ASV_79",1.25698267476203,"enriched",3.27187085192915e-08,0.889890642423205,"enriched",7.13792581019897e-05,-0.367092032338825,"nosig",0.111559448656982,0.00320710042336473,0.00164976518958895,0.00181056282075686,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_2511",-0.1636662484172,"nosig",0.859583008492913,-0.440900844863363,"nosig",0.624389901485868,-0.277234596446162,"nosig",0.748497324506213,1.89218162355806e-05,2.52698349919967e-05,2.66484697674875e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_2574",-0.588547406996499,"nosig",0.509206791109857,-1.11747482979385,"nosig",0.191390288793184,-0.528927422797352,"nosig",0.501560952541811,1.77760663485434e-05,3.5098022561194e-05,4.47415086475171e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_167",1.03492420339591,"enriched",0.000486985138345133,0.911507072273157,"enriched",0.00205678592846365,-0.123417131122755,"nosig",0.685243738693351,0.00133261310066289,0.000809418886794838,0.000745746178565849,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_234",0.638496329753309,"nosig",0.0420687060371337,0.193018305579784,"nosig",0.530182744474419,-0.445478024173525,"nosig",0.158455727144627,0.000725965358214219,0.000568094197348119,0.000655456092127416,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_30",0.33774530149114,"nosig",0.282957272868373,0.171588116084498,"nosig",0.584794093061334,-0.166157185406642,"nosig",0.597268610899869,0.00518147829993382,0.00494800168384314,0.0048408001795283,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned"
"ASV_44",1.63307699898606,"enriched",0.000120459715219471,0.7534796995349,"nosig",0.0694364123034003,-0.879597299451156,"nosig",0.0358328407393968,0.00539498934165763,0.00219412308043485,0.00338056148395968,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia","Kinneretia_asaccharophila"
"ASV_293",-0.619416475468857,"nosig",0.616930769003373,-0.534327394357508,"nosig",0.665925523436373,0.0850890811113488,"nosig",0.944898898852774,0.000298112065205633,0.000613230952307698,0.000506230725155783,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Unassigned"
"ASV_324",0.555600525408987,"nosig",0.228621502265859,0.0214237798097514,"nosig",0.962414799265406,-0.534176745599235,"nosig",0.246623314885528,0.000585207401006469,0.000486544853267606,0.000592094371107899,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned"
"ASV_32",-0.0932095660219442,"nosig",0.561434356606661,-0.335341052112718,"nosig",0.0359393223077433,-0.242131486090774,"nosig",0.127147513563683,0.00400813715234255,0.00525427185994497,0.00526169497916372,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia","Kinneretia_asaccharophila"
"ASV_111",-0.428791571452611,"nosig",0.123542661607505,-0.875072656553298,"depleted",0.00154136557991071,-0.446281085100686,"nosig",0.0985552993561641,0.000962702649332782,0.00157674876965648,0.00182593162421734,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
"ASV_595",0.495739073056157,"nosig",0.263775450329878,-0.0191806297392456,"nosig",0.964219785914131,-0.514919702795403,"nosig",0.242120771591769,0.000200149556941123,0.000171271783228284,0.000210289889132227,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Unassigned"
"ASV_128",-0.312188340902419,"nosig",0.154083597228928,-0.462227632173257,"nosig",0.0340065211854142,-0.150039291270838,"nosig",0.478330613801853,0.000887348450773148,0.00134924244575985,0.00126451840768047,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned"
"ASV_406",0.0432668881722578,"nosig",0.909824858429929,-0.126296235327844,"nosig",0.739541976738252,-0.169563123500102,"nosig",0.652978123412419,0.000286007116258295,0.000332645178121914,0.000317444631672681,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned"
"ASV_132",1.51912078953874,"nosig",0.0233850030510804,1.21440292560515,"nosig",0.0675275065151508,-0.304717863933592,"nosig",0.644999565427602,0.00173393863900952,0.000777425665133763,0.000815482728769749,"Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned"
