"","ID","i","index","Group"
"sample432","sample4",96100,8528,"Group1"
"sample532","sample5",96100,9748,"Group1"
"sample632","sample6",96100,5912,"Group1"
"sample732","sample7",96100,4528,"Group2"
"sample832","sample8",96100,7705,"Group2"
"sample932","sample9",96100,5209,"Group2"
"sample1108","sample1",99100,7686,"Group1"
"sample1033","sample10",99100,6996,"Group2"
"sample1137","sample11",99100,6760,"Group2"
"sample1234","sample12",99100,8616,"Group2"
"sample1333","sample13",99100,9771,"Group3"
"sample1433","sample14",99100,10449,"Group3"
"sample1533","sample15",99100,9800,"Group3"
"sample1633","sample16",99100,10091,"Group3"
"sample1733","sample17",99100,10349,"Group3"
"sample1833","sample18",99100,10196,"Group3"
"sample233","sample2",99100,5430,"Group1"
"sample333","sample3",99100,6032,"Group1"
"sample433","sample4",99100,8633,"Group1"
"sample533","sample5",99100,9823,"Group1"
"sample633","sample6",99100,5918,"Group1"
"sample733","sample7",99100,4569,"Group2"
"sample833","sample8",99100,7743,"Group2"
"sample933","sample9",99100,5223,"Group2"
"sample1109","sample1",102100,7764,"Group1"
"sample1034","sample10",102100,7067,"Group2"
"sample1138","sample11",102100,6750,"Group2"
"sample1235","sample12",102100,8657,"Group2"
"sample1334","sample13",102100,9879,"Group3"
"sample1434","sample14",102100,10479,"Group3"
"sample1534","sample15",102100,9843,"Group3"
"sample1634","sample16",102100,10156,"Group3"
"sample1734","sample17",102100,10458,"Group3"
"sample1834","sample18",102100,10321,"Group3"
"sample234","sample2",102100,5458,"Group1"
"sample334","sample3",102100,6066,"Group1"
"sample434","sample4",102100,8683,"Group1"
"sample534","sample5",102100,9934,"Group1"
"sample634","sample6",102100,5912,"Group1"
"sample734","sample7",102100,4611,"Group2"
"sample834","sample8",102100,7794,"Group2"
"sample934","sample9",102100,5270,"Group2"
"sample1139","sample1",105100,7841,"Group1"
"sample1035","sample10",105100,7106,"Group2"
"sample1140","sample11",105100,6775,"Group2"
"sample1236","sample12",105100,8697,"Group2"
"sample1335","sample13",105100,9985,"Group3"
"sample1435","sample14",105100,10582,"Group3"
"sample1535","sample15",105100,9974,"Group3"
"sample1635","sample16",105100,10232,"Group3"
"sample1735","sample17",105100,10503,"Group3"
"sample1835","sample18",105100,10331,"Group3"
"sample235","sample2",105100,5490,"Group1"
"sample335","sample3",105100,6057,"Group1"
"sample435","sample4",105100,8672,"Group1"
"sample535","sample5",105100,9992,"Group1"
"sample635","sample6",105100,5980,"Group1"
"sample735","sample7",105100,4607,"Group2"
"sample835","sample8",105100,7840,"Group2"
"sample935","sample9",105100,5262,"Group2"
"sample1141","sample1",108100,7872,"Group1"
"sample1036","sample10",108100,7109,"Group2"
"sample1142","sample11",108100,6813,"Group2"
"sample1237","sample12",108100,8809,"Group2"
"sample1336","sample13",108100,10087,"Group3"
