"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Ramophialophora",-14.1053958481784,-3.37348427416405,"Ramophialophora","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Ramophialophora","fun",0,0,0,0
"Rhizobium",-15.8347502914093,-5.16560346241945,"Rhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","bac",0,0,0,0
"Rhizomicrobium",-14.884701280249,3.59976529588745,"Rhizomicrobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","bac",0,0,0,0
"Rhodanobacter",9.82770560486013,11.1706271622955,"Rhodanobacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","bac",3,0.0948419301164725,141.13115942029,3
"Rhodoplanes",-8.0512324912767,7.02800805197141,"Rhodoplanes","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","bac",1,0.0852017937219731,0,1
"Rhodotorula",-15.5844547235555,1.05051752219359,"Rhodotorula","fun","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","fun",0,0,0,0
"Rosulabryum",-15.7103050411634,-1.30530510529576,"Rosulabryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Rosulabryum","fun",0,0,0,0
"Rudaea",12.6176971841247,8.6172955507234,"Rudaea","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea","bac",3,0.0939044481054366,68.317972607103,3
"Saccharibacteria_genera_incertae_sedis",-14.2290728340135,7.33937205834454,"Saccharibacteria_genera_incertae_sedis","bac","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis","bac",0,0,0,0
"Sagenomella",-5.04351281139951,-0.592287479698704,"Sagenomella","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","fun",5,0.0906200317965024,148.900448585231,5
"Saitozyma",15.6398779959645,0.146054888139032,"Saitozyma","fun","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","fun",1,0.0188305252725471,0,1
"Sediminibacterium",0.188021052852,3.2660803001042,"Sediminibacterium","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Sediminibacterium","bac",1,0.0844444444444444,0,1
"Spartobacteria_genera_incertae_sedis",5.76618515055935,3.12794871925786,"Spartobacteria_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","bac",1,0.0844444444444444,0,1
"Sphingobium",10.9366931108052,6.91845352102182,"Sphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","bac",2,0.0917874396135266,4.33562271062271,2
"Sphingomonas",7.49561656318276,-4.02243341936962,"Sphingomonas","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","bac",2,0.0926829268292683,22.3968003011481,2
"Staphylotrichum",-14.599587011386,5.68785516468838,"Staphylotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Staphylotrichum","fun",0,0,0,0
"Steroidobacter",-16.5455001466135,5.65647762107343,"Steroidobacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","bac",0,0,0,0
"Streptophyta",-10.7922513291363,-1.80704965252077,"Streptophyta","bac","Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast","Streptophyta","bac",1,0.0175438596491228,0,1
"Subdivision3_genera_incertae_sedis",-8.61468863362975,-15.574750173792,"Subdivision3_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","bac",0,0,0,0
"Talaromyces",-17.6332945256522,-2.67199803549155,"Talaromyces","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","fun",0,0,0,0
"Telmatobacter",-14.3289668154638,-8.08892060456881,"Telmatobacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","bac",0,0,0,0
"Terrimonas",-2.76646175523603,-0.343610629168508,"Terrimonas","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","bac",1,0.0841949778434269,0,1
"Tetracystis",-14.7021357040589,-11.4481500696752,"Tetracystis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Tetracystis","fun",0,0,0,0
"Tetrahymena",-12.9188433324814,11.4506550856053,"Tetrahymena","fun","Alveolata","Ciliophora","Oligohymenophorea","Hymenostomatida","Tetrahymenidae","Tetrahymena","fun",0,0,0,0
"Thiobacillus",12.7181922454385,11.5280643700376,"Thiobacillus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","bac",1,0.0914927768860353,0,1
"Trichoderma",16.2733349401277,-2.69672674950319,"Trichoderma","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","fun",3,0.0188554416142904,7,3
"Tylenchorhynchus",-0.775071021054458,17.8962633120707,"Tylenchorhynchus","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","fun",2,0.0813124108416548,48,2
"Unassigned",-14.5801556342201,9.5686541634782,"Unassigned","bac","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Unassigned","bac",0,0,0,0
"Vorticella",-4.22391472698047,4.21977559465609,"Vorticella","fun","Alveolata","Ciliophora","Oligohymenophorea","Oligohymenophorea_ord_Incertae_sedis","Vorticellidae","Vorticella","fun",2,0.0875576036866359,48,2
"WPS-1_genera_incertae_sedis",-16.8061455928009,8.40811367834288,"WPS-1_genera_incertae_sedis","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","bac",0,0,0,0
"Zopfiella",-11.5865565661966,14.5933080970935,"Zopfiella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","fun",0,0,0,0
